Date/Time,Word Count,en,it
2026.08.31-17.09.04,0,0,0
2026.08.31-17.13.34,10,0,10
2026.09.01-14.38.40,10,10,10
2026.09.01-15.21.37,15,10,15
2026.09.01-15.23.44,15,15,15
2026.09.01-17.27.59,63,15,63
2026.09.01-17.34.49,15,15,15
2026.09.07-15.24.10,7761,5,7761
2026.09.07-16.33.09,7761,7696,7761
2026.09.08-15.17.33,7761,7761,7761
2026.09.08-18.14.32,7763,7761,7763
2026.09.08-18.15.30,7763,7763,7763
2026.09.08-19.20.29,7858,7761,7858
2026.09.08-21.34.39,7907,7761,7907
2026.09.09-17.39.04,8103,7761,8103
2026.09.12-18.50.37,8103,8103,8103
